선명,입항횟수,입항횟수.1,외내,입출,총톤수,입항일시,출항일시,계선장소,차항지,전출항지,선박용도,number,예선,도선
TRITON,2021,12,내항,입항,"2,041",2021-04-03 08:30,2021-04-03 17:10,3부두 01,옥계항,평택.당진,석유제품 운반선,11,Y,Y
TRITON,2021,12,내항,출항,"2,041",2021-04-03 08:30,2021-04-03 17:10,3부두 01,제주,평택.당진,석유제품 운반선,11,N,N
MONTESPERANZA,2021,1,외항,출항,"81,468",2021-04-03 08:30,2021-04-08 19:45,SK8부두,여수,SINGAPORE,원유운반선,18,N,N
해양호,2021,7,내항,출항,"1,130",2021-04-03 09:30,2021-04-19 10:20,남화부두,기타항,기타항,폐기물 운반선,24,N,N
해양호,2021,7,내항,입항,"1,130",2021-04-03 09:30,2021-04-19 10:20,남화부두,기타항,기타항,폐기물 운반선,24,Y,Y
MARAN LIBRA,2021,1,외항,출항,"164,511",2021-04-03 09:30,2021-04-07 01:54,SK부이 02,QINGDAO PT,REUNION,원유운반선,18,Y,Y
MARAN LIBRA,2021,1,외항,입항,"164,511",2021-04-03 09:30,2021-04-07 01:54,SK부이 02,SINGAPORE,REUNION,원유운반선,18,Y,Y
WOO DONG,2021,6,내항,출항,"8,581",2021-04-03 09:40,2021-04-04 13:55,4부두 02,인천,부산,케미칼 운반선,22,Y,Y
WOO DONG,2021,6,내항,입항,"8,581",2021-04-03 09:40,2021-04-04 13:55,4부두 02,부산,부산,케미칼 운반선,22,Y,Y
C. GLORY,2021,1,외항,입항,"162,180",2021-04-03 10:30,2021-04-07 11:00,SK부이 03,인천,MINA AL AHMADI,원유운반선,18,Y,Y
C. GLORY,2021,1,외항,출항,"162,180",2021-04-03 10:30,2021-04-07 11:00,SK부이 03,인천,MINA AL AHMADI,원유운반선,18,N,N
TORM SPLENDID,2021,2,외항,출항,"28,877",2021-04-03 11:42,2021-04-07 00:15,SK6부두,SINGAPORE,SANFRANCISCO,석유제품 운반선,11,Y,N
MORNING LENA,2021,2,외항,입항,"70,853",2021-04-03 12:10,2021-04-06 17:00,자동차부두 02,SINGAPORE,마산,자동차운반선,20,N,N
MORNING LENA,2021,2,외항,출항,"70,853",2021-04-03 12:10,2021-04-06 17:00,자동차부두 02,"MERSIN, ICEL",마산,자동차운반선,20,Y,Y
한유비전,2021,16,내항,출항,999,2021-04-03 13:00,2021-04-03 19:00,SK5부두,광양,여천항,석유제품 운반선,11,N,N
한유비전,2021,16,내항,입항,999,2021-04-03 13:00,2021-04-03 19:00,SK5부두,광양,여천항,석유제품 운반선,11,N,N
YOUNGSAN GAS,2021,14,외항,출항,999,2021-04-03 13:25,2021-04-03 18:25,7부두 01,MIZUSHIMA,울산,케미칼가스 운반선,23,Y,N
YOUNGSAN GAS,2021,14,외항,입항,999,2021-04-03 13:25,2021-04-03 18:25,7부두 01,MIZUSHIMA,울산,케미칼가스 운반선,23,N,N
17쌍용호,2021,10,내항,입항,498,2021-04-03 14:20,2021-04-06 14:00,2부두 02,제주,기타항,일반화물선,19,Y,N
SILVER ATLAS,2021,3,외항,출항,"5,551",2021-04-03 14:50,2021-04-04 12:45,8부두 01,MANILA,KOBE,케미칼 운반선,22,Y,Y
SAEHAN MIRINAE,2021,3,외항,출항,"3,187",2021-04-03 16:48,2021-04-04 04:42,2부두 03,ZHAPU PT,JIANGYIN,LPG 운반선,2,Y,Y
SAEHAN MIRINAE,2021,3,외항,입항,"3,187",2021-04-03 16:48,2021-04-04 04:42,SK5부두,ZHAPU PT,JIANGYIN,LPG 운반선,2,Y,Y
신영,2021,31,내항,출항,749,2021-04-03 17:00,2021-04-04 09:25,SK2부두 01,부산,부산,석유제품 운반선,11,Y,Y
EOS,2021,2,외항,입항,"4,251",2021-04-03 17:05,2021-04-05 16:00,염포부두 03,OCEAN DISTRICT,OCEAN DISTRICT,석유제품 운반선,11,Y,Y
19유성호,2021,18,내항,출항,262,2021-04-03 17:10,2021-04-04 04:50,SK2부두 02,부산,부산,석유제품 운반선,11,Y,Y
NURI CHEMIST,2021,5,외항,입항,"2,583",2021-04-03 17:10,2021-04-04 22:15,1부두 01,"KASHIMA, IBARAKI",KAWASAKI,석유제품 운반선,11,Y,Y
스카이케미,2021,24,내항,출항,"1,772",2021-04-03 18:50,2021-04-06 10:30,SK1부두 12,여천항,여천항,석유제품 운반선,11,Y,Y
금창호,2021,20,내항,출항,999,2021-04-03 19:10,2021-04-04 00:50,SK2부두 02,광양,부산,석유제품 운반선,11,Y,N
금창호,2021,20,내항,입항,999,2021-04-03 19:10,2021-04-04 00:50,SK2부두 02,광양,부산,석유제품 운반선,11,Y,N
동방3호,2021,20,내항,입항,299,2021-04-03 20:10,2021-04-04 19:40,8부두 01,부산,부산,석유제품 운반선,11,Y,Y
KEOYOUNG BLUE 5,2021,8,외항,출항,"1,162",2021-04-03 20:10,2021-04-05 15:25,가스부두,YOKOHAMA,HANNAN,석유제품 운반선,11,Y,N
YC ACACIA,2021,7,외항,입항,"4,060",2021-04-03 21:40,2021-04-09 18:00,7부두 01,DALIAN,DALIAN,석유제품 운반선,11,Y,Y
천진호,2021,29,내항,출항,753,2021-04-03 23:00,2021-04-04 14:55,SK2부두 01,부산,포항신항,석유제품 운반선,11,Y,Y
세창비너스,2021,14,내항,출항,"1,668",2021-04-04 01:40,2021-04-04 18:00,SK1부두 12,포항신항,부산,석유제품 운반선,11,Y,Y
세창비너스,2021,14,내항,입항,"1,668",2021-04-04 01:40,2021-04-04 18:00,SK1부두 12,포항신항,부산,석유제품 운반선,11,N,N
유성,2021,40,내항,출항,"1,998",2021-04-04 04:20,2021-04-04 16:50,SK2부두 01,마산,동해,석유제품 운반선,11,N,Y
DUCKYANG GAS,2021,11,내항,출항,980,2021-04-04 04:45,2021-04-04 19:55,3부두 02,여수,여수,LPG 운반선,2,N,N
WOO MIN,2021,10,외항,입항,"4,688",2021-04-04 04:55,2021-04-05 16:35,일반부두 07,OSAKA,OSAKA,석유제품 운반선,11,Y,Y
진양1호,2021,31,내항,출항,"1,995",2021-04-04 11:10,2021-04-06 21:40,SK2부두 01,동해,부산,석유제품 운반선,11,Y,Y
GOLDEN KEY HANA,2021,3,외항,입항,"2,497",2021-04-04 13:55,2021-04-06 08:45,일반부두 08,"NANYO, YAMAGUCHI",KAOHSIUNG,케미칼 운반선,22,Y,Y
삼원썬,2021,26,내항,출항,999,2021-04-04 20:00,2021-04-05 04:05,SK2부두 01,마산,부산,석유제품 운반선,11,Y,Y
GRACE ALPHA,2021,8,내항,출항,"2,676",2021-04-04 23:05,2021-04-05 12:40,3부두 02,여수,여수,석유제품 운반선,11,Y,Y
GRACE ALPHA,2021,8,내항,입항,"2,676",2021-04-04 23:05,2021-04-05 12:40,3부두 02,여수,여수,석유제품 운반선,11,Y,N
BLACK PEARL,2021,3,내항,입항,"5,637",2021-04-05 00:10,2021-04-26 07:50,SK1부두 11,울산,대산,석유제품 운반선,11,Y,Y
QING PING,2021,2,외항,출항,"1,997",2021-04-05 09:30,2021-04-07 19:15,3부두 01,KOKURA,SHIDAO PT,일반화물선,19,Y,Y
QING PING,2021,2,외항,입항,"1,997",2021-04-05 09:30,2021-04-07 19:15,3부두 01,OCEAN DISTRICT,SHIDAO PT,일반화물선,19,Y,Y
YAN DANG SHAN,2021,1,외항,입항,"4,109",2021-04-05 10:05,2021-04-05 17:15,염포부두 01,포항,"KASHIMA, IBARAKI",일반화물선,19,N,N
YAN DANG SHAN,2021,1,외항,출항,"4,109",2021-04-05 10:05,2021-04-05 17:15,염포부두 01,포항,"KASHIMA, IBARAKI",일반화물선,19,Y,Y
KEOYOUNG SUN 5,2021,9,외항,입항,610,2021-04-05 11:00,2021-04-08 18:35,일반부두 07,NOBEOKA,CHIBA,석유제품 운반선,11,N,N
송백,2021,22,내항,출항,499,2021-04-05 12:00,2021-04-05 16:45,SK2부두 02,광양,부산,석유제품 운반선,11,Y,Y
송백,2021,22,내항,입항,499,2021-04-05 12:00,2021-04-05 16:45,SK2부두 02,광양,부산,석유제품 운반선,11,N,N
WOO SUNG,2021,8,외항,출항,"4,688",2021-04-05 12:00,2021-04-06 08:45,SK4부두,기타항,KIKUMA,석유제품 운반선,11,Y,N
